Books,Author,Date,
...and Ladies of the Club , Helen Hooven Santmeyer ," July 8, 1984",
11/22/63 , Stephen King ," November 27, 2011",
11th Hour , James Patterson and Maxine Paetro ," May 27, 2012",
12th of Never , James Patterson and Maxine Paetro ," May 19, 2013",
14th Deadly Sin , James Patterson and Maxine Paetro ," May 24, 2015",
15th Affair , James Patterson and Maxine Paetro ," May 22, 2016",
16th Seduction , James Patterson and Maxine Paetro ," May 21, 2017",
1876 , Gore Vidal ," April 11, 1976",
1st to Die , James Patterson ," March 25, 2001",
2nd Chance , James Patterson with Andrew Gross ," March 24, 2002",
3rd Degree , James Patterson and Andrew Gross ," March 21, 2004",
4th of July , James Patterson and Maxine Paetro ," May 22, 2005",
61 Hours , Lee Child ," June 6, 2010",
77 Shadow Street , Dean Koontz ," January 15, 2012",
A Breath of Snow and Ashes , Diana Gabaldon ," October 16, 2005",
A Column of Fire , Ken Follett ," October 1, 2017",
A Common Life , Jan Karon ," April 29, 2001",
A Dance With Dragons , George R. R. Martin ," July 31, 2011",
A Day Late and a Dollar Short , Terry McMillan ," February 4, 2001",
A Feast For Crows , George R. R. Martin ," November 27, 2005",
A Great Reckoning , Louise Penny ," September 18, 2016",
A Legacy of Spies , John le Carré ," September 24, 2017",
A Lion Is In the Streets , Adria Locke Langley ," July 8, 1945",
A Man In Full , Tom Wolfe ," November 22, 1998",
A Memory of Light , Robert Jordan and Brandon Sanderson ," January 27, 2013",
A Modern Hero , Louis Bromfield ," May 9, 1932",
A New York Tempest , Manuel Komroff ," September 5, 1932",
A Painted House , John Grisham ," February 25, 2001",
A Perfect Spy , John le Carré ," May 4, 1986",
A Rage to Live , John O'Hara ," September 18, 1949",
A Shade of Difference , Allen Drury ," October 28, 1962",
A Spark of Light , Jodi Picoult ," October 21, 2018",
A Thousand Splendid Suns , Khaled Hosseini ," June 10, 2007",
A Tree Grows In Brooklyn , Betty Smith ," September 20, 1943",
A Wanted Man , Lee Child ," September 30, 2012",
A Week In Winter , Maeve Binchy ," March 3, 2013",
A Widow For One Year , John Irving ," June 14, 1998",
Accident , Danielle Steel ," February 27, 1994",
Accidental Heroes , Danielle Steel ," April 8, 2018",
Acheron , Sherrilyn Kenyon ," August 24, 2008",
Across the River and Into the Trees , Ernest Hemingway ," October 15, 1950",
Act of War , Brad Thor ," July 27, 2014",
Action at Aquila , Hervey Allen ," March 21, 1938",
Advise and Consent , Allen Drury ," October 4, 1959",
Against All Enemies , Tom Clancy with Peter Telep ," July 3, 2011",
Airframe , Michael Crichton ," December 29, 1996",
Airport , Arthur Hailey ," April 7, 1968",
Alaska , James Michener ," July 3, 1988",
"Alex Cross, Run ", James Patterson ," March 10, 2013",
Alex Cross's Trial , James Patterson and Richard DiLallo ," September 13, 2009",
All the Light We Cannot See , Anthony Doerr ," January 18, 2015",
All This and Heaven Too , Rachel Field ," November 28, 1938",
American Assassin , Vince Flynn ," October 31, 2010",
An Absolutely Remarkable Thing , Hank Green ," October 14, 2018",
An Anonymous Girl , Greer Hendricks and Sarah Pekkanen ," January 27, 2019",
An Indecent Obsession , Colleen McCullough ," November 15, 1981",
Anansi Boys , Neil Gaiman ," October 9, 2005",
Anathem , Neal Stephenson ," September 28, 2008",
Anatomy of a Murder , Robert Traver ," March 9, 1958",
And Now Tomorrow , Rachel Field ," June 15, 1942",
Andersonville , McKinley Kantor ," January 1, 1956",
Angels Fall , Nora Roberts ," July 30, 2006",
Ann Vickers , Sinclair Lewis ," January 30, 1933",
Answered Prayers , Danielle Steel ," November 17, 2002",
Anthony Adverse , Hervey Allen ," July 3, 1933",
Any Dream Will Do , Debbie Macomber ," August 27, 2017",
Apprentice In Death , J.D. Robb ," September 25, 2016",
Arch of Triumph , Erich Maria Remarque ,Century) ,
Armageddon , Tim LaHaye and Jerry B. Jenkins ," April 27, 2003",
As the Earth Turns , Gladys Hasty Carroll ," May 8, 1933",
As Times Go By , Mary Higgins Clark ," April 24, 2016",
At First Sight , Nicholas Sparks ," November 6, 2005",
At Risk , Patricia Cornwell ," June 11, 2006",
Auntie Mame , Patrick Dennis ," August 28, 1955",
B. F.'s Daughter , John P. Marquand ," December 1, 1946",
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Back to the top of the page. ,,,
Bad Moon Rising , Sherrilyn Kenyon ," August 23, 2009",
Bag of Bones , Stephen King ," October 11, 1998",
Beach Music , Pat Conroy ," July 16, 1995",
Beach Road , James Patterson and Peter de Jonge ," May 21, 2006",
Before I Say Good,e ," May 7, 2000",
Believing the Lie , Elizabeth George ," January 29, 2012",
Best Friends Forever , Jennifer Weiner ," August 2, 2009",
Beyond This Place , A.J. Cronin ," October 11, 1953",
Big Little Lies , Liane Moriarty ," August 17, 2014",
Birthright , Nora Roberts ," April 20, 2003",
Bittersweet , Danielle Steel ," April 25, 1999",
Black Hills , Nora Roberts ," July 26, 2009",
Black House , Stephen King and Peter Straub ," September 30, 2001",
Black Notice , Patricia Cornwell ," August 22, 1999",
Black Ops , W.E.B. Griffin ," January 18, 2009",
Bleachers , John Grisham ," September 28, 2003",
Blood Noir , Laurell K. Hamilton ," June 15, 2008",
Bloodline , Sidney Sheldon ," March 12, 1978",
Blow Fly , Patricia Cornwell ," November 2, 2003",
Blue , Danielle Steel ," February 7, 2016",
Bonjour Tristesse , FranÃ§oise Sagan ," May 22, 1955",
Book of the Dead , Patricia Cornwell ," November 11, 2007",
Breakfast of Champions , Kurt Vonnegut ," July 1, 1973",
Bright Skin , Julia Peterkin ," May 2, 1932",
Brotherhood in Death , J.D. Robb ," February 21, 2016",
Bullseye , James Patterson and Michael Ledwidge ," August 21, 2016",
Burn , James Patterson and Michael Ledwidge ," October 19, 2014",
Burr , Gore Vidal ," December 9, 1973",
By Love Possessed , James Gould Cozzens ," September 22, 1957",
Calculated In Death , J.D. Robb ," March 17, 2013",
Calico Joe , John Grisham ," April 29, 2012",
Camino Island , John Grisham ," June 25, 2017",
Captain From Castile , Samuel Shellabarger ," June 10, 1945",
Caught , Harlan Coben ," April 11, 2010",
Cause of Death , Patricia Cornwell ," July 21, 1996",
Celebrity In Death , J.D. Robb ," March 11, 2012",
Cell , Stephen King ," February 12, 2006",
Centennial , James Michener ," October 13, 1974",
Change of Heart , Jodi Picoult ," March 23, 2008",
Changes , Jim Butcher ," April 25, 2010",
Chasing Fire , Nora Roberts ," May 1, 2011",
Chesapeake , James Michener ," July 23, 1978",
Chesapeake Blue , Nora Roberts ," November 24, 2002",
Chill Factor , Sandra Brown ," September 4, 2005",
Chosen Prey , John Sandford ," June 3, 2001",
Circe , Madeline Miller ," April 29, 2018",
Clear and Present Danger , Tom Clancy ," September 3, 1989",
Cold Days , Jim Butcher ," December 16, 2012",
Cold Fire , Dean R. Koontz ," February 3, 1991",
Cold Mountain , Charles Frazier ," August 31, 1997",
Cold Vengeance , Douglas Preston and Lincoln Child ," August 21, 2011",
Colorless Tsukuru Tazaki and His Years of Pilgrimage , Haruki Murakami ," August 31, 2014",
Come and Get It , Edna Ferber ," March 4, 1935",
Come Rain or Come Shine , Jan Karon ," October 11, 2015",
Come Sundown , Nora Roberts ," June 18, 2017",
Cometh the Hour , Jeffrey Archer ," March 6, 2016",
Command Authority , Tom Clancy with Mark Greaney ," December 22, 2013",
Commonwealth , Ann Patchett ," October 2, 2016",
Compulsion , Jonathan Kellerman ," April 13, 2008",
Concealed In Death , J.D. Robb ," March 9, 2014",
Couples , John Updike ," June 30, 1968",
Cross , James Patterson ," December 3, 2006",
Cross Country , James Patterson ," December 7, 2008",
Cross Fire , James Patterson ," December 5, 2010",
Cross Justice , James Patterson ," December 13, 2015",
Cross My Heart , James Patterson ," December 15, 2013",
Cross the Line , James Patterson ," December 11, 2016",
Crossroads of Twilight , Robert Jordan ," January 26, 2003",
Cujo , Stephen King ," August 23, 1981",
Curtain , Agatha Christie ," November 30, 1975",
Daddy , Danielle Steel ," November 26, 1989",
Daddy's Gone A Hunting , Mary Higgins Clark ," April 28, 2013",
Daddy's Little Girl , Mary Higgins Clark ," May 5, 2002",
Dangerous Games , Danielle Steel ," March 26, 2017",
Dark Curse , Christine Feehan ," September 21, 2008",
Dark In Death , J.D. Robb ," February 18, 2018",
Dark Slayer , Christine Feehan ," September 20, 2009",
Dead and Gone , Charlaine Harris ," May 24, 2009",
Dead Ever After , Charlaine Harris ," May 26, 2013",
Dead In the Family , Charlaine Harris ," May 23, 2010",
Dead or Alive , Tom Clancy with Grant Blackwell ," December 26, 2010",
Dead Reckoning , Charlaine Harris ," May 22, 2011",
Deadline , John Sandford ," October 26, 2014",
Deadlocked , Charlaine Harris ," May 20, 2012",
Dear John , Nicholas Sparks ," November 19, 2006",
Debt of Honor , Tom Clancy ," September 4, 1994",
Deliver Us From Evil , David Baldacci ," May 9, 2010",
Desecration , Tim LaHaye and Jerry B. Jenkins ," November 18, 2001",
Desiree , Annemarie Selinko ," March 8, 1953",
Desperation , Stephen King ," October 13, 1996",
Devices and Desires , P. D. James ," February 18, 1990",
Devil Bones , Kathy Reichs ," September 14, 2008",
Different Seasons , Stephen King ," August 15, 1982",
Disclosure , Michael Crichton ," January 23, 1994",
District Nurse , Faith Baldwin ," June 6, 1932",
Divine Justice , David Baldacci ," November 23, 2008",
Doctor Sleep , Stephen King ," October 13, 2013",
Doctor Zhivago , Boris Pasternak ," November 16, 1958",
Dolores Claiborne , Stephen King ," December 6, 1992",
Don't Go Near the Water , William Brinkley ," August 12, 1956",
Double Cross , James Patterson ," December 2, 2007",
Dragon Seed , Pearl S. Buck ," February 9, 1942",
Dragon Tears , Dean R. Koontz ," January 24, 1993",
Dreamcatcher , Stephen King ," April 8, 2001",
Dreams of Joy , Lisa See ," June 19, 2011",
Drowning Ruth , Christina Schwarz ," October 29, 2000",
Drums Along the Mohawk , Walter D. Edmonds ," February 22, 1937",
Duma Key , Stephen King ," February 10, 2008",
Eagle In the Sky , Van Wyck Mason ," March 7, 1948",
Earth and High Heaven , Gwethalyn Graham ," April 22, 1945",
East of Eden , John Steinbeck ," November 2, 1952",
East River , Sholem Asch ," November 24, 1946",
"East Side, West Side ", Marcia Davenport ," February 8, 1948",
Easy Prey , John Sandford ," June 4, 2000",
Edge of Eternity , Ken Follett ," October 5, 2014",
Elevation , Stephen King ," November 18, 2018",
Eleven On Top , Janet Evanovich ," July 10, 2005",
End of Watch , Stephen King ," June 26, 2016",
Escape , Ethel Vance ," October 9, 1939",
Escape Clause , John Sandford ," November 6, 2016",
Europa , Robert Briffault ," September 23, 1935",
Every Breath , Nicholas Sparks ," November 4, 2018",
Everything's Eventual , Stephen King ," April 7, 2002",
Executive Orders , Tom Clancy ," September 1, 1996",
Exodus , Leon Uris ," May 17, 1959",
Explosive Eighteen , Janet Evanovich ," December 11, 2011",
Extreme Measures , Vince Flynn ," November 9, 2008",
Extreme Prey , John Sandford ," May 15, 2016",
Falconer , John Cheever ," May 22, 1977",
Fall of Giants , Ken Follett ," October 17, 2010",
Family Album , Danielle Steel ," March 31, 1985",
Fantasy In Death , J.D. Robb ," March 14, 2010",
Faraway , J.B. Priestley ," August 15, 1932",
Fearless Fourteen , Janet Evanovich ," July 6, 2008",
Finders Keepers , Stephen King ," June 21, 2015",
Fine Things , Danielle Steel ," March 29, 1987",
Finger Lickin' Fifteen , Janet Evanovich ," July 12, 2009",
Fire and Blood , George R.R. Martin ," December 9, 2018",
Firestarter , Stephen King ," September 28, 1980",
First Among Equals , Jeffrey Archer ," August 26, 1984",
First Comes Love , Emily Griffin ," July 17, 2016",
First Family , David Baldacci ," May 10, 2009",
Five Days In Paris , Danielle Steel ," December 3, 1995",
Five Silver Daughters , Louis Golding ," May 28, 1934",
Flash and Bones , Kathy Reichs ," September 11, 2011",
Flood Tide , Clive Cussler ," October 12, 1997",
Flowering Wilderness , John Galsworthy ," November 21, 1932",
Fool Me Once , Harlan Coben ," April 10, 2016",
For One More Day , Mitch Albom ," October 15, 2006",
For Whom the Bell Tolls , Ernest Hemingway ," October 28, 1940",
Ford County , John Grisham ," November 22, 2009",
Forever Amber , Kathleen Winsor ," November 5, 1944",
Four Blind Mice , James Patterson ," December 8, 2002",
Four Past Midnight , Stephen King ," September 16, 1990",
Franny and Zooey , J. D. Sallinger ," October 29, 1961",
Freedom , Jonathan Franzen ," September 19, 2010",
Frenchman's Creek , Daphne du Maurier ," February 16, 1942",
From a Buick 8 , Stephen King ," October 13, 2002",
From Here to Eternity , James Jones ," March 25, 1951",
From Potter's Field , Patricia Cornwell ," August 27, 1995",
From the Corner of His Eye , Dean R. Koontz ," January 14, 2001",
Frost Burned , Patricia Briggs ," March 24, 2013",
Full Circle , Danielle Steel ," June 3, 1984",
Gathering Prey , John Sandford ," May 17, 2015",
Gentlemen's Agreement , Laura Z. Hobson ," April 27, 1947",
Gerald's Game , Stephen King ," July 19, 1992",
Ghost Story , Jim Butcher ," August 14, 2011",
Glass Houses , Louise Penny ," September 17, 2017",
Glorious Appearing , Tim LaHaye and Jerry B. Jenkins ," April 18, 2004",
Go Set a Watchman , Harper Lee ," August 2, 2015",
Golden Prey , John Sandford ," May 14, 2017",
Gone , Jonathan Kellerman ," April 16, 2006",
Gone Girl , Gillian Flynn ," July 15, 2012",
Gone Tomorrow , Lee Child ," June 7, 2009",
Gone With the Wind , Margaret Mitchell ," July 13, 1936",
Good as Gold , Joseph Heller ," April 15, 1979",
Gorky Park , Martin Cruz Smith ," April 26, 1981",
Gray Mountain , John Grisham ," November 9, 2014",
Green Dolphin Street , Elizabeth Goudge ,McCann) ,
Green Light , Lloyd C. Douglas ," April 29, 1935",
Handle With Care , Jodi Picoult ," March 22, 2009",
Hannibal , Thomas Harris ," June 27, 1999",
Hard Eight , Janet Evanovich ," July 7, 2002",
Harry Potter and the Chamber of Secrets , J.K. Rowling ," June 20, 1999",
Harry Potter and the Prisoner of Azkaban , J.K. Rowling ," September 26, 1999",
Harry Potter and the Sorcerer's Stone , J.K. Rowling ," August 15, 1999",
Hawaii , James Michener ," January 17, 1960",
Heartbeat , Danielle Steel ," February 24, 1991",
Heat Rises , Richard Castle ," October 9, 2011",
Heaven's My Destination , Thornton Wilder ," January 21, 1935",
Heir to the Empire , Timothy Zahn ," June 30, 1991",
Hell's Corner , David Baldacci ," November 28, 2010",
Herzog , Saul Bellow ," October 25, 1964",
Hideaway , Dean R. Koontz ," February 2, 1992",
Hit List , Laurell K. Hamilton ," June 26, 2011",
Hold the Dream , Barbara Taylor Bradford ," June 9, 1985",
Hold Tight , Harlan Coben ," May 4, 2008",
Home , Harlan Coben ," October 9, 2016",
Home Front , Kristin Hannah ," February 19, 2012",
Honeymoon , James Patterson and Howard Roughan ," March 6, 2005",
Hope to Die , James Patterson ," December 14, 2014",
Hornet's Nest , Patricia Cornwell ," February 2, 1997",
Hot Six , Janet Evanovich ," July 9, 2000",
Hour Game , David Baldacci ," November 14, 2004",
House Divided , Ben Ames Williams ," November 9, 1947",
House of Spies , Daniel Silva ," July 30, 2017",
House Rules , Jodi Picoult ," March 21, 2010",
How Green Was My Valley , Richard Llewellyn ," March 4, 1940",
How Stella Got Her Groove Back , Terry McMillan ," May 19, 1996",
How the Light Gets In , Louise Penny ," September 15, 2013",
I Heard That Song Before , Mary Higgins Clark ," April 22, 2007",
I Know This Much Is True , Wally Lamb ," July 5, 1998",
"I, Alex Cross ", James Patterson ," December 6, 2009",
"I, Claudius ", Robert Graves ," July 23, 1934",
I'll Take Manhattan , Judith Krantz ," May 25, 1986",
I've Got My Eyes on You , Mary Higgins Clark ," April 22, 2018",
I've Got You Under My Skin , Mary Higgins Clark ," April 27, 2014",
If I Have Four Apples , Josephine Lawrence ," January 20, 1936",
If Tomorrow Comes , Sidney Sheldon ," February 3, 1985",
In This Mountain , Jan Karon ," June 16, 2002",
Indwelling , Tim LaHaye and Jerry B. Jenkins ," June 11, 2000",
Inferno , Dan Brown ," June 2, 2013",
Innocent In Death , J.D. Robb ," March 11, 2007",
Insomnia , Stephen King ," October 23, 1994",
Intensity , Dean R. Koontz ," January 28, 1996",
Into the Water , Paula Hawkins ," May 28, 2017",
Invisible , James Patterson and David Ellis ," July 13, 2014",
Invitation to the Waltz , Rosamond Lehmann ," November 14, 1932",
Isle of Dogs , Patricia Cornwell ," October 28, 2001",
It , Stephen King ," September 14, 1986",
It Can't Happen Here , Sinclair Lewis ," November 4, 1935",
Jailbird , Kurt Vonnegut ," October 7, 1979",
Jewels , Danielle Steel ," May 17, 1992",
Johnny Angel , Danielle Steel ," July 20, 2003",
